barcode,collNo_Text,collector_Text,collrTeam_Text,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LatDecL
185057,10372,B. F. Hansen,"R.P. Wunderlin, N. Mawhinney",Sumter Co.,Araceae,Arisaema,null,null,101652,null,null,null,TRUE,912,null,dracontium,L.,Schott,04/02/1985,"1 mi. NE of FL 48, ca. 1 mi. E of Withlacoochee River; 3 mi. NW of Wahoo. T20S, R21E, Sec. 20, SE¼ of SE¼.",null,Along dirt road.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.1833,28.6833
301059,944,C. F. Caudle,"M.L. Gilbert, M.S. Tisdale",Pasco Co.,Araceae,Arisaema,null,null,238628,null,null,null,TRUE,594,null,triphyllum,L.,Schott,06/29/1962,Withlacoochee River.,2020,null,Fruit,null,null,null,null,null,null,null,null,null,FALSE,null,-82.172029,28.465832
301063,415,C. F. Caudle,"M.L. Gilbert, M.S. Tisdale",Pasco Co.,Araceae,Arisaema,null,null,238629,null,null,null,TRUE,594,null,triphyllum,L.,Schott,06/19/1962,Withlacoochee River.,2020,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,-82.172029,28.465832
253256,2726,J. M. Kunzer,,Polk Co.,Araceae,Arisaema,null,null,101721,null,null,null,TRUE,594,null,triphyllum,L.,Schott,02/19/2009,"Ca. 4.4 km SE of FL 471 bridge over the Withlacoochee River, ca. 4 km NE of junction FL 471 and US 98.",null,"Mature, disturbed hammock.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.03277778,28.27777778
216517,16124,S. L. Orzell,E.L. Bridges,Hamilton Co.,Araceae,Arisaema,null,null,101677,null,null,null,TRUE,594,null,triphyllum,L.,Schott,03/21/1991,"Ca. 1 air mi. NW of junction FL 143 and FL 146, ca. 1.6 air mi. S of Octahatchee. T2N, R11E, Sec. 23, NE¼ of NW¼ of SW¼.",null,"Mesic hardwood slope forest, adjacent to elongate sinkholes in tributary; community dominated by Fagus grandifolia - Magnolia grandiflora - Carya spp.",Flower,null,null,null,null,null,null,90,110,ft,FALSE,Withlacoochee River,-83.19694444,30.55833333
228596,19110,S. L. Orzell,E.L. Bridges,Sumter Co.,Araceae,Arisaema,null,null,101739,null,null,null,TRUE,594,null,triphyllum,L.,Schott,03/02/1992,"Edges on N side of Center Grade Road ca. 1.3 mi. E of junction FL 471, near Weeks Pond and N of Gator Hole Slough, ca. 7.7 mi. S of junction FL 50 at Tarrytown. T23S, R23E, Sec. 29, NW¼.",null,Hydric hammock.,Flower,null,null,null,null,null,null,90,92,ft,FALSE,Withlacoochee State Forest,-82.03611111,28.45833333
223437,1163,C. vanHoek,"V. Morris, J. Buckner",Hernando Co.,Poaceae,Aristida,null,null,45792,null,null,null,TRUE,2137,null,mohrii,Nash,null,09/18/1998,"Croom Wildlife Management Area.  T22S, R20E, Sec. 1, S½.",null,"Sandhills; in association with Quercus laevis, Pinus palustris, and Aristida beyrichiana [A. stricta var. beyrichiana].",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,28.587772
247450,2546,J. M. Kunzer,"G. Dauphin, C. Eckert",Polk Co.,Poaceae,Aristida,null,null,45912,null,null,null,TRUE,2441,null,patula,Chapm. ex Nash,null,09/26/2008,"Ca. 2.5 km SSE of FL 471 bridge over the Withlacoochee River, ca. 5.1 km NNE of the junction of FL 471 and US 98.",null,Mesic flatwoods.,Fertile,null,null,null,null,"Culms erect, to ca. 2 m tall.",null,null,null,null,FALSE,Colt Creek State Park,-82.04361111,18.46055556
231260,s.n.,S. Taylor,,Hernando Co.,Poaceae,Aristida,null,null,46138,purpurascens,null,null,TRUE,832,var.,purpurascens,Poir.,null,10/22/2001,"Clayridge.  T21S, R19E, Sec. 28.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,28.35
234764,s.n.,S. Taylor,,Hernando Co.,Poaceae,Aristida,null,null,46469,tenuispica,Hitchc.,Allred,TRUE,2473,var.,purpurascens,Poir.,null,10/27/2002,"Citrus Tract.  T20S, R19E, Sec. 23.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,28.35
