"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"1620","Rosaceae","Rubus","cuneifolius","Rubus cuneifolius",2008-06-13,"2008","06","28.35","-81.8167","Sumter Co."
"228187","Rosaceae","Rubus","cuneifolius","Rubus cuneifolius",1961-04-06,"1961","04","28.35","-81.8167","Sumter Co."
"228186","Rosaceae","Rubus","pensilvanicus","Rubus pensilvanicus",2009-02-19,"2009","02","28.35","-81.8167","Sumter Co."
"185035","Asteraceae","Rudbeckia","hirta","Rudbeckia hirta",1973-05-27,"1973","05","28.6833","-82.1833","Sumter Co."
"161035","Asteraceae","Rudbeckia","hirta","Rudbeckia hirta",2008-09-26,"2008","09","28.55","-82.05","Sumter Co."
"105088","Acanthaceae","Ruellia","caroliniensis","Ruellia caroliniensis",1985-04-02,"1985","04","28.35","-81.8167","Hernando Co."
"217804","Acanthaceae","Ruellia","caroliniensis","Ruellia caroliniensis",1981-09-29,"1981","09","28.35","-81.8167","Sumter Co."
"217744","Polygonaceae","Rumex","paraguayensis","Rumex paraguayensis",2008-04-03,"2008","04","28.35","-81.8167","Sumter Co."
"27382","Polygonaceae","Rumex","verticillatus","Rumex verticillatus",1985-04-02,"1985","04","28.35","-81.8167","Sumter Co."
"208188","Polygonaceae","Rumex","verticillatus","Rumex verticillatus",1963-05-06,"1963","05","28.8667","-82.45","Citrus Co."
"238777","Arecaceae","Sabal","minor","Sabal minor",1963-09-21,"1963","09","28.835818","-82.330372","Citrus Co."
"216437","Arecaceae","Sabal","minor","Sabal minor",1963-09-21,"1963","09","28.45833333","-82.03611111","Sumter Co."
"226395","Arecaceae","Sabal","minor","Sabal minor",1963-05-06,"1963","05","28.45833333","-82.03611111","Sumter Co."
"205416","Gentianaceae","Sabatia","calycina","Sabatia calycina",2011-05-08,"2011","05","28.6333","-82.25","Sumter Co."
"55415","Poaceae","Saccharum","baldwinii","Saccharum baldwinii",1983-10-11,"1983","10","28.35","-81.8167","Citrus Co."
"232055","Poaceae","Saccharum","giganteum","Saccharum giganteum",1981-09-29,"1981","09","28.23362","-82.181195","Pasco Co."
"120824","Poaceae","Saccharum","giganteum","Saccharum giganteum",2008-09-26,"2008","09","28.4667","-82.0667","Pasco Co."
"120847","Poaceae","Sacciolepis","indica","Sacciolepis indica",2008-04-03,"2008","04","28.35","-81.8167","Sumter Co."
"214513","Poaceae","Sacciolepis","striata","Sacciolepis striata",1981-09-29,"1981","09","28.45833333","-82.03611111","Sumter Co."
"265220","Rhamnaceae","Sageretia","minutiflora","Sageretia minutiflora",1963-05-25,"1963","05","null","null","Sumter Co."
"265217","Rhamnaceae","Sageretia","minutiflora","Sageretia minutiflora",2008-09-03,"2008","09","null","null","Citrus Co."
"265218","Rhamnaceae","Sageretia","minutiflora","Sageretia minutiflora",1963-06-03,"1963","06","null","null","Hernando Co."
"265219","Alismataceae","Sagittaria","filiformis","Sagittaria filiformis",2004-01-03,"2004","01","null","null","Hernando Co."
"214552","Alismataceae","Sagittaria","graminea","Sagittaria graminea",1985-04-02,"1985","04","null","null","Sumter Co."
"10192","Alismataceae","Sagittaria","graminea","Sagittaria graminea",2008-04-15,"2008","04","29.031521","-82.823055","Citrus Co."
"245085","Alismataceae","Sagittaria","kurziana","Sagittaria kurziana",1983-04-14,"1983","04","28.35","-81.8167","Citrus Co."
"178108","Alismataceae","Sagittaria","latifolia","Sagittaria latifolia",1995-11-05,"1995","11","28.835818","-82.330372","Citrus Co."
"226986","Salicaceae","Salix","caroliniana","Salix caroliniana",1962-06-19,"1962","06","28.865264","-82.038974","Sumter Co."
"226982","Lamiaceae","Salvia","coccinea","Salvia coccinea",1963-06-03,"1963","06","28.865264","-82.038974","Sumter Co."
"229267","Lamiaceae","Salvia","lyrata","Salvia lyrata",2008-04-15,"2008","04","28.80472222","-82.4025","Citrus Co."
"104800","Lamiaceae","Salvia","lyrata","Salvia lyrata",1980-04-03,"1980","04","28.35","-81.8167","Hernando Co."
"104729","Lamiaceae","Salvia","serotina","Salvia serotina",1960-04-21,"1960","04","28.587772","-82.227588","Hernando Co."
"192403","Salviniaceae","Salvinia","minima","Salvinia minima",1989-01-18,"1989","01","28.8667","-82.45","Citrus Co."
"104805","Samolaceae","Samolus","valerandi","Samolus valerandi",1963-05-25,"1963","05","28.5","-82.1","Hernando Co."
"229152","Samolaceae","Samolus","valerandi","Samolus valerandi",1961-04-05,"1961","04","28.45805556","-82.06111111","Pasco Co."
"229159","Samolaceae","Samolus","valerandi","Samolus valerandi",1958-03-25,"1958","03","28.45305556","-82.14583333","Pasco Co."
"210642","Samolaceae","Samolus","valerandi","Samolus valerandi",1973-03-08,"1973","03","28.50638889","-82.13472222","Hernando Co."
"206521","Samolaceae","Samolus","valerandi","Samolus valerandi",2008-04-15,"2008","04","28.555272","-82.387871","Hernando Co."
"206468","Samolaceae","Samolus","valerandi","Samolus valerandi",1963-05-06,"1963","05","28.6333","-82.25","Sumter Co."
"228025","Apiaceae","Sanicula","canadensis","Sanicula canadensis",1963-05-09,"1963","05","28.45305556","-82.14583333","Pasco Co."
"197805","Sapindaceae","Sapindus","marginatus","Sapindus marginatus",1959-05-04,"1959","05","28.35","-81.8167","Hernando Co."
"55941","Sapindaceae","Sapindus","marginatus","Sapindus marginatus",2026-06-03,"2026","06","28.35","-81.8167","Sumter Co."
"27381","Saururaceae","Saururus","cernuus","Saururus cernuus",1961-04-05,"1961","04","28.35","-81.8167","Sumter Co."
"27772","Melanthiaceae","Schoenocaulon","dubium","Schoenocaulon dubium",2000-05-22,"2000","05","28.35","-81.8167","Sumter Co."
"104730","Cyperaceae","Scirpus","lineatus","Scirpus lineatus",1993-05-08,"1993","05","28.35","-81.8167","Hernando Co."
"104813","Cyperaceae","Scirpus","lineatus","Scirpus lineatus",2009-03-21,"2009","03","28.5","-82.1","Hernando Co."
"294333","Cyperaceae","Scleria","ciliata","Scleria ciliata",1992-07-07,"1992","07","28.465832","-82.172029","Pasco Co."
"211042","Cyperaceae","Scleria","oligantha","Scleria oligantha",1961-05-01,"1961","05","28.35","-81.8167","Citrus Co."
"227083","Cyperaceae","Scleria","reticularis","Scleria reticularis",2008-09-26,"2008","09","28.865264","-82.038974","Sumter Co."
"227294","Cyperaceae","Scleria","verticillata","Scleria verticillata",2008-09-03,"2008","09","28.35","-81.8167","Hernando Co."
"160877","Polygalaceae","Senega","balduini","Senega balduini",1980-04-24,"1980","04","28.35","-81.8167","Hernando Co."
"55508","Polygalaceae","Senega","lutea","Senega lutea",2008-04-03,"2008","04","28.35","-81.8167","Citrus Co."
"56821","Polygalaceae","Senega","nana","Senega nana",1961-04-07,"1961","04","28.6833","-82.2667","Citrus Co."
"127811","Fabaceae","Senna","ligustrina","Senna ligustrina",1959-09-16,"1959","09","28.55","-82.05","Sumter Co."
"104622","Fabaceae","Senna","obtusifolia","Senna obtusifolia",1981-09-29,"1981","09","28.35","-81.8167","Citrus Co."
"154603","Fabaceae","Senna","obtusifolia","Senna obtusifolia",2008-09-26,"2008","09","28.35","-81.8167","Sumter Co."
"198578","Fabaceae","Senna","occidentalis","Senna occidentalis",2008-09-03,"2008","09","28.8667","-82.45","Citrus Co."
"260709","Arecaceae","Serenoa","repens","Serenoa repens",2008-04-15,"2008","04","28.835818","-82.330372","Citrus Co."
"260772","Arecaceae","Serenoa","repens","Serenoa repens",2008-04-15,"2008","04","28.55","-82.05","Sumter Co."
"299477","Asteraceae","Sericocarpus","tortifolius","Sericocarpus tortifolius",2008-09-26,"2008","09","null","null","Sumter Co."
"204911","Fabaceae","Sesbania","herbacea","Sesbania herbacea",1981-09-09,"1981","09","28.35","-81.8167","Lake Co."
"216745","Poaceae","Setaria","macrosperma","Setaria macrosperma",1959-09-16,"1959","09","28.35","-81.8167","Hernando Co."
"161599","Malvaceae","Sida","rhombifolia","Sida rhombifolia",1962-06-29,"1962","06","28.554997","-82.054526","Sumter Co."
"27780","Iridaceae","Sisyrinchium","angustifolium","Sisyrinchium angustifolium",1960-04-21,"1960","04","28.35","-81.8167","Sumter Co."
"27376","Iridaceae","Sisyrinchium","angustifolium","Sisyrinchium angustifolium",1958-03-25,"1958","03","28.35","-81.8167","Sumter Co."
"27380","Iridaceae","Sisyrinchium","angustifolium","Sisyrinchium angustifolium",2009-02-19,"2009","02","28.35","-81.8167","Sumter Co."
"6502","Iridaceae","Sisyrinchium","angustifolium","Sisyrinchium angustifolium",1963-05-06,"1963","05","28.35","-81.8167","Sumter Co."
"227166","Iridaceae","Sisyrinchium","nashii","Sisyrinchium nashii",1985-04-02,"1985","04","28.55","-82.05","Sumter Co."
"122568","Iridaceae","Sisyrinchium","nashii","Sisyrinchium nashii",1963-06-03,"1963","06","28.4667","-82.0667","Pasco Co."
"104833","Iridaceae","Sisyrinchium","nashii","Sisyrinchium nashii",1973-05-06,"1973","05","28.35","-81.8167","Sumter Co."
"104194","Iridaceae","Sisyrinchium","rosulatum","Sisyrinchium rosulatum",2008-04-03,"2008","04","28.587772","-82.227588","Hernando Co."
"239344","Asteraceae","Smallanthus","uvedalia","Smallanthus uvedalia",1959-09-16,"1959","09","28.45833333","-82.03611111","Sumter Co."
