"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"305110","Malvaceae","Urena","lobata","Urena lobata",1981-09-09,"1981","09","null","null","Sumter Co."
"243953","Malvaceae","Urena","lobata","Urena lobata",2008-09-26,"2008","09","28.30944444","-81.98305556","Sumter Co."
"2649","Poaceae","Urochloa","ramosa","Urochloa ramosa",2008-09-19,"2008","09","28.664992","-82.112863","Sumter Co."
"297157","Urticaceae","Urtica","chamaedryoides","Urtica chamaedryoides",1962-10-21,"1962","10","28.465832","-82.172029","Pasco Co."
"172103","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa",1981-11-08,"1981","11","28.835818","-82.330372","Citrus Co."
"120354","Lentibulariaceae","Utricularia","inflata","Utricularia inflata",1961-04-06,"1961","04","28.465832","-82.172029","Pasco Co."
"265215","Ericaceae","Vaccinium","corymbosum","Vaccinium corymbosum",1980-03-12,"1980","03","28.66888889","-82.40222222","Citrus Co."
"122799","Ericaceae","Vaccinium","darrowii","Vaccinium darrowii",1961-04-06,"1961","04","28.35","-81.8167","Citrus Co."
"292352","Ericaceae","Vaccinium","myrsinites","Vaccinium myrsinites",1961-04-07,"1961","04","28.465832","-82.172029","Pasco Co."
"206072","Caprifoliaceae","Valeriana","scandens","Valeriana scandens",1963-05-06,"1963","05","28.35","-81.8167","Sumter Co."
"55380","Verbenaceae","Verbena","montevidensis","Verbena montevidensis",2008-09-03,"2008","09","28.688879","-82.272868","Citrus Co."
"27744","Verbenaceae","Verbena","scabra","Verbena scabra",1959-09-16,"1959","09","28.35","-81.8167","Sumter Co."
"258595","Verbenaceae","Verbena","scabra","Verbena scabra",2008-04-03,"2008","04","28.55","-82.05","Sumter Co."
"258593","Asteraceae","Verbesina","virginica","Verbesina virginica",2008-09-26,"2008","09","28.5","-82.1","Hernando Co."
"232061","Asteraceae","Verbesina","virginica","Verbesina virginica",1963-09-21,"1963","09","28.5","-82.1","Hernando Co."
"104825","Asteraceae","Vernonia","gigantea","Vernonia gigantea",1959-09-16,"1959","09","28.35","-81.8167","Sumter Co."
"295289","Asteraceae","Vernonia","gigantea","Vernonia gigantea",1958-08-13,"1958","08","28.51583333","-82.10888889","Hernando Co."
"104734","Plantaginaceae","Veronica","peregrina","Veronica peregrina",2008-04-03,"2008","04","28.587772","-82.227588","Hernando Co."
"104737","Fabaceae","Vicia","acutifolia","Vicia acutifolia",2009-02-19,"2009","02","28.587772","-82.227588","Hernando Co."
"104623","Fabaceae","Vicia","floridana","Vicia floridana",1985-04-02,"1985","04","28.35","-81.8167","Citrus Co."
"104817","Fabaceae","Vicia","floridana","Vicia floridana",1961-04-05,"1961","04","28.5","-82.1","Hernando Co."
"8176","Violaceae","Viola","lanceolata","Viola lanceolata",1961-04-05,"1961","04","28.35","-81.8167","Sumter Co."
"48093","Violaceae","Viola","lanceolata","Viola lanceolata",2008-04-03,"2008","04","28.688879","-82.272868","Citrus Co."
"104679","Violaceae","Viola","palmata","Viola palmata",2008-04-03,"2008","04","28.35","-81.8167","Citrus Co."
"302529","Violaceae","Viola","primulifolia","Viola primulifolia",1961-05-01,"1961","05","28.7335","-82.4927","Citrus Co."
"202276","Violaceae","Viola","sororia","Viola sororia",1961-04-05,"1961","04","30.2333","-84.6667","Hernando Co."
"83021","Violaceae","Viola","sororia","Viola sororia",1961-04-05,"1961","04","29.031521","-82.823055","Citrus Co."
"187500","Violaceae","Viola","sororia","Viola sororia",2009-02-19,"2009","02","null","null","Hernando Co."
"55411","Vitaceae","Vitis","rotundifolia","Vitis rotundifolia",2008-06-13,"2008","06","30.2333","-84.6667","Citrus Co."
"185037","Vitaceae","Vitis","rotundifolia","Vitis rotundifolia",1962-06-16,"1962","06","28.6833","-82.1833","Sumter Co."
"144337","Vitaceae","Vitis","rotundifolia","Vitis rotundifolia",1959-04-22,"1959","04","28.35","-81.8167","Hernando Co."
"292320","Campanulaceae","Wahlenbergia","marginata","Wahlenbergia marginata",1983-04-26,"1983","04","28.465832","-82.172029","Pasco Co."
"204178","Blechnaceae","Woodwardia","areolata","Woodwardia areolata",1981-09-09,"1981","09","28.6333","-82.25","Sumter Co."
"104648","Blechnaceae","Woodwardia","areolata","Woodwardia areolata",1981-09-29,"1981","09","28.35","-81.8167","Citrus Co."
"122554","Blechnaceae","Woodwardia","virginica","Woodwardia virginica",1981-09-29,"1981","09","28.4667","-82.0667","Pasco Co."
"104752","Ximeniaceae","Ximenia","americana","Ximenia americana",1980-10-13,"1980","10","28.587772","-82.227588","Hernando Co."
"184983","Xyridaceae","Xyris","brevifolia","Xyris brevifolia",1961-04-06,"1961","04","28.6833","-82.1833","Sumter Co."
"172842","Xyridaceae","Xyris","caroliniana","Xyris caroliniana",2008-09-03,"2008","09","28.35","-81.8167","Sumter Co."
"299449","Xyridaceae","Xyris","fimbriata","Xyris fimbriata",2008-09-03,"2008","09","28.35","-81.8167","Sumter Co."
"204692","Xyridaceae","Xyris","fimbriata","Xyris fimbriata",2008-09-26,"2008","09","28.6333","-82.25","Sumter Co."
"1997","Agavaceae","Yucca","aloifolia","Yucca aloifolia",1959-05-04,"1959","05","28.35","-81.8167","Sumter Co."
"8494","Agavaceae","Yucca","aloifolia","Yucca aloifolia",1959-09-16,"1959","09","28.35","-81.8167","Sumter Co."
"185042","Agavaceae","Yucca","filamentosa","Yucca filamentosa",2008-06-13,"2008","06","28.6833","-82.1833","Sumter Co."
"55424","Zamiaceae","Zamia","integrifolia","Zamia integrifolia",1959-09-16,"1959","09","28.688879","-82.272868","Citrus Co."
"161059","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",1963-09-21,"1963","09","28.55","-82.05","Sumter Co."
"242389","Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",1980-10-13,"1980","10","28.664992","-82.112863","Sumter Co."
"227087","Amaryllidaceae","Zephyranthes","atamasca","Zephyranthes atamasca",1991-03-21,"1991","03","28.865264","-82.038974","Sumter Co."
"281528","Amaryllidaceae","Zephyranthes","simpsonii","Zephyranthes simpsonii",2008-04-15,"2008","04","28.465832","-82.172029","Pasco Co."
"160876","Poaceae","Zizania","aquatica","Zizania aquatica",1959-09-16,"1959","09","28.35","-81.8167","Hernando Co."
"120698","Poaceae","Zizania","aquatica","Zizania aquatica",1959-09-16,"1959","09","28.465832","-82.172029","Pasco Co."
"55402",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"161073",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"60628",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"60627",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"208232",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"199396",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"216357",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"240270",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"216366",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"199136",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Lake Co."
"161044",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"7609",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"206160",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"299453",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"245078",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"245080",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"222888",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"227186",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"48092",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"48091",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"199439",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"228353",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"55964",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"48047",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"120700",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Pasco Co."
"43148",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Hernando Co."
"162072",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"55967",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"227189",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"283970",NA,NA,NA,"NA NA",NA,NA,NA,"28.46472222","-82.13638889","Sumter Co."
"55377",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"232023",NA,NA,NA,"NA NA",NA,NA,NA,"28.7167","-82.3","Citrus Co."
"105110",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"239120",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"120710",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"7641",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"214543",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"59905",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"48017",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"241873",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"55419",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"27391",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105097",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"167164",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"263784",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"8369",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"259770",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"48087",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"161037",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"255502",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"205365",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"10294",NA,NA,NA,"NA NA",NA,NA,NA,"28.659991","-82.27759","Hernando Co."
"161624",NA,NA,NA,"NA NA",NA,NA,NA,"28.554997","-82.054526","Sumter Co."
"120699",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"104650",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104731",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"231463",NA,NA,NA,"NA NA",NA,NA,NA,"28.7167","-82.3","Citrus Co."
"120510",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"228776",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"228158",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"105078",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"8408",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"211090",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"161062",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"154584",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105090",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"172388",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"27770",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"27775",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"27384",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104829",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"216389",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"104749",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"125787",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"104641",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Citrus Co."
"104807",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"27748",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"191629",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"204181",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"105077",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"104841",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"210672",NA,NA,NA,"NA NA",NA,NA,NA,"28.50638889","-82.13472222","Hernando Co."
"258600",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"27816",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104644",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"204587",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"43149",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Hernando Co."
"306729",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"226891",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"185063",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"104197",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"105167",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"161057",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"105104",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"122572",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"228163",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"298436",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"56023",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"228885",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"206456",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"264381",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"208192",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"162070",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-82.0333","Sumter Co."
"122565",NA,NA,NA,"NA NA",NA,NA,NA,"28.4667","-82.0667","Pasco Co."
"297207",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"161046",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"105091",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"214199",NA,NA,NA,"NA NA",NA,NA,NA,"28.555272","-82.387871","Hernando Co."
"301209",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"286550",NA,NA,NA,"NA NA",NA,NA,NA,"28.59388889","-82.27833333","Hernando Co."
"7591",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"27760",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"178411",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"151470",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"255495",NA,NA,NA,"NA NA",NA,NA,NA,"28.64111111","-82.33805556","Hernando Co."
"55429",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"162073",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-82.0333","Sumter Co."
"48050",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"104803",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"229445",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"105079",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"185043",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"104647",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104810",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"104736",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"55396",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"208182",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"227207",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"301026",NA,NA,NA,"NA NA",NA,NA,NA,"28.5333","-82.6333","Hernando Co."
"104631",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Citrus Co."
"241982",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"104632",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Citrus Co."
"104642",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Citrus Co."
"48117",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"55393",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"105169",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"27776",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"227181",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"104823",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"55392",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"59767",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"48118",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"210538",NA,NA,NA,"NA NA",NA,NA,NA,"28.50638889","-82.13472222","Hernando Co."
"27771",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55399",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"120850",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"104795",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"120851",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"9618",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"120347",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"120715",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"226197",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"223878",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"241037",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"6503",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104818",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"120713",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"161146",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"227229",NA,NA,NA,"NA NA",NA,NA,NA,"28.5333","-82.45","Hernando Co."
"229847",NA,NA,NA,"NA NA",NA,NA,NA,"28.45305556","-82.14583333","Pasco Co."
"226849",NA,NA,NA,"NA NA",NA,NA,NA,"28.53416667","-82.14555556","Hernando Co."
"226504",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"227230",NA,NA,NA,"NA NA",NA,NA,NA,"28.5333","-82.45","Hernando Co."
"228817",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"214537",NA,NA,NA,"NA NA",NA,NA,NA,"28.50638889","-82.13472222","Hernando Co."
"204579",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"242342",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"263558",NA,NA,NA,"NA NA",NA,NA,NA,"28.45305556","-82.14583333","Pasco Co."
"227295",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"238795",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"120823",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"210875",NA,NA,NA,"NA NA",NA,NA,NA,"28.53416667","-82.14555556","Hernando Co."
"298818",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"214168",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"223850",NA,NA,NA,"NA NA",NA,NA,NA,"28.45805556","-82.06111111","Pasco Co."
"298819",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"298820",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"162069",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-82.0333","Sumter Co."
"237437",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"210810",NA,NA,NA,"NA NA",NA,NA,NA,"28.50638889","-82.13472222","Hernando Co."
"227227",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"225257",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"228096",NA,NA,NA,"NA NA",NA,NA,NA,"28.45305556","-82.14583333","Pasco Co."
"210804",NA,NA,NA,"NA NA",NA,NA,NA,"28.50638889","-82.13472222","Hernando Co."
"237436",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"161060",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"55974",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55389",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"122551",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"105107",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"104824",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"141199",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"154583",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27750",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104625",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104798",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"105125",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"104820",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"185056",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"161067",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"55385",NA,NA,NA,"NA NA",NA,NA,NA,"28.851649","-82.487598","Citrus Co."
"104811",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"104627",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104723",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"60912",NA,NA,NA,"NA NA",NA,NA,NA,"28.851649","-82.487598","Citrus Co."
"185045",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"104645",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104739",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"184982",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"55736",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"55866",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55865",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55875",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55428",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"120709",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"122545",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"105170",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"108171",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"120591",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"264116",NA,NA,NA,"NA NA",NA,NA,NA,"28.3514","-82.1253","Pasco Co."
"214443",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"120507",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"240468",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"120508",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"193373",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"208661",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"161053",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"161038",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
